name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
Kepler-80 c,1165,6.74 Earths,14.756,2012,,Neptune-like,2012,6.74 Earths,0.244 x Jupiter,0.0792 AU,9.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-80 d,1165,6.75 Earths,14.756,2014,,Super Earth,2014,6.75 Earths,1.53 x Earth,0.0372 AU,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-80 e,1165,4.13 Earths,14.756,2014,,Super Earth,2014,4.13 Earths,1.6 x Earth,0.0491 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-80 f,1165,1.92 Earths,14.756,2016,,Super Earth,2016,1.92 Earths,1.21 x Earth,0.0175 AU,1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-80 g,1165,1.51 Earths,14.756,2017,,Super Earth,2017,1.51 Earths,1.13 x Earth,Unknown,14.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-810 b,5069,4.38 Earths,15.761,2016,,Super Earth,2016,4.38 Earths,1.93 x Earth,Unknown,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-811 b,2763,7.75 Earths,13.958,2016,,Neptune-like,2016,7.75 Earths,0.241 x Jupiter,Unknown,23.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-812 b,4834,12.3 Earths,13.749,2016,,Neptune-like,2016,12.3 Earths,0.317 x Jupiter,Unknown,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-813 b,2740,5.22 Earths,14.535,2016,,Neptune-like,2016,5.22 Earths,2.14 x Earth,Unknown,19.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-814 b,4329,5.14 Earths,14.666,2016,,Neptune-like,2016,5.14 Earths,2.12 x Earth,Unknown,6.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-815 b,3911,15.8 Earths,13.231,2016,,Neptune-like,2016,15.8 Earths,0.367 x Jupiter,Unknown,8.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-816 b,3454,0.234 Jupiters,15.936,2016,,Gas Giant,2016,0.234 Jupiters,0.914 x Jupiter,Unknown,10.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-817 b,4570,0.189 Jupiters,15.597,2016,,Gas Giant,2016,0.189 Jupiters,0.806 x Jupiter,Unknown,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-818 b,3154,22.9 Earths,15.057,2016,,Neptune-like,2016,22.9 Earths,0.456 x Jupiter,Unknown,10 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-819 b,2355,8.05 Earths,15.066,2016,,Neptune-like,2016,8.05 Earths,0.246 x Jupiter,Unknown,33.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-81 b,1148,17.2 Earths,15.004,2012,,Super Earth,2012,17.2 Earths,0.216 x Jupiter,0.0522 AU,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-81 c,1148,4.3 Earths,15.004,2012,,Neptune-like,2012,4.3 Earths,0.211 x Jupiter,0.08347 AU,12 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-81 d,1148,1.92 Earths,15.004,2014,,Super Earth,2014,1.92 Earths,1.21 x Earth,0.128 AU,20.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-820 b,3226,30.8 Earths,13.944,2016,,Neptune-like,2016,30.8 Earths,0.543 x Jupiter,Unknown,127.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-821 b,2019,2.27 Earths,14.818,2016,,Super Earth,2016,2.27 Earths,1.31 x Earth,Unknown,1.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
Kepler-822 b,3118,3.78 Earths,14.597,2016,,Super Earth,2016,3.78 Earths,1.77 x Earth,Unknown,3.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
Kepler-823 b,2923,3.09 Earths,14.762,2016,,Super Earth,2016,3.09 Earths,1.57 x Earth,Unknown,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-824 b,4410,4.16 Earths,14.883,2016,,Super Earth,2016,4.16 Earths,1.87 x Earth,Unknown,4.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-825 b,2675,2.96 Earths,14.145,2016,,Super Earth,2016,2.96 Earths,1.53 x Earth,Unknown,3.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
Kepler-825 c,2675,4.04 Earths,14.145,2016,,Super Earth,2016,4.04 Earths,1.84 x Earth,Unknown,8.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-826 b,2117,2.1 Earths,13.412,2016,,Super Earth,2016,2.1 Earths,1.25 x Earth,Unknown,4.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-827 b,4410,27 Earths,15.862,2016,,Neptune-like,2016,27 Earths,0.502 x Jupiter,Unknown,51.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-828 b,2039,2.89 Earths,15.044,2016,,Super Earth,2016,2.89 Earths,1.51 x Earth,Unknown,0.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-829 b,3112,5.1 Earths,14.921,2016,,Neptune-like,2016,5.1 Earths,2.11 x Earth,Unknown,6.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-82 b,3027,12.15 Earths,15.138,2012,,Neptune-like,2012,12.15 Earths,0.363 x Jupiter,0.1683 AU,26.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-82 c,3027,13.9 Earths,15.138,2012,,Neptune-like,2012,13.9 Earths,0.476 x Jupiter,0.2626 AU,51.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-82 d,3027,3.78 Earths,15.138,2014,,Super Earth,2014,3.78 Earths,1.77 x Earth,0.034 AU,2.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-82 e,3027,6.66 Earths,15.138,2014,,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.063 AU,5.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-82 f,3027,20.9 Earths,15.138,2019,,Neptune-like,2019,20.9 Earths,0.432 x Jupiter,0.3395 AU,75.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-830 b,3660,3.53 Earths,14.789,2016,,Super Earth,2016,3.53 Earths,1.7 x Earth,Unknown,11.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-831 b,1882,2.15 Earths,13.631,2016,,Super Earth,2016,2.15 Earths,1.27 x Earth,Unknown,5.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-832 b,4391,4.9 Earths,15.859,2016,,Super Earth,2016,4.9 Earths,2.06 x Earth,Unknown,7.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-833 b,1373,4.74 Earths,15.469,2016,,Super Earth,2016,4.74 Earths,2.02 x Earth,Unknown,18.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-834 b,2022,4.74 Earths,15.928,2016,,Super Earth,2016,4.74 Earths,2.02 x Earth,Unknown,13.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-835 b,6560,8.2 Earths,15.89,2016,,Neptune-like,2016,8.2 Earths,0.249 x Jupiter,Unknown,11.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-836 b,3272,7.9 Earths,14.587,2016,,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,Unknown,11.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-837 b,2760,7.08 Earths,15.229,2016,,Neptune-like,2016,7.08 Earths,0.228 x Jupiter,Unknown,16.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-838 b,3947,7.9 Earths,15.23,2016,,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,Unknown,15.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-839 b,2717,7.13 Earths,13.563,2016,,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,Unknown,37.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-83 b,1321,0.132 Jupiters,15.783,2012,,Gas Giant,2012,0.132 Jupiters,0.252 x Jupiter,0.07295 AU,9.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-83 c,1321,11.4 Earths,15.783,2012,,Super Earth,2012,11.4 Earths,0.211 x Jupiter,0.11796 AU,20.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-83 d,1321,24.6 Earths,15.783,2014,,Super Earth,2014,24.6 Earths,1.94 x Earth,0.051 AU,5.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-840 b,2538,135 Jupiters,14.129,2016,,Gas Giant,2016,135 Jupiters,1.523 x Jupiter,Unknown,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-841 b,3432,23.8 Earths,15.744,2016,,Neptune-like,2016,23.8 Earths,0.467 x Jupiter,Unknown,124.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-842 b,1801,3.19 Earths,15.13,2016,,Super Earth,2016,3.19 Earths,1.6 x Earth,Unknown,1.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-843 b,4068,7.22 Earths,15.248,2016,,Neptune-like,2016,7.22 Earths,0.231 x Jupiter,Unknown,2.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-844 b,1285,3.46 Earths,15.796,2016,,Super Earth,2016,3.46 Earths,1.68 x Earth,Unknown,2.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-845 b,1536,4.82 Earths,14.639,2016,,Super Earth,2016,4.82 Earths,2.04 x Earth,Unknown,0.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-846 b,4022,6.71 Earths,15.604,2016,,Neptune-like,2016,6.71 Earths,0.221 x Jupiter,Unknown,19.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-847 b,1726,1.76 Earths,14.78,2016,,Super Earth,2016,1.76 Earths,1.18 x Earth,Unknown,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-848 b,2600,3.53 Earths,14.011,2016,,Super Earth,2016,3.53 Earths,1.7 x Earth,Unknown,6.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-849 b,2437,0.127 Jupiters,12.836,2016,,Gas Giant,2016,0.127 Jupiters,0.637 x Jupiter,Unknown,394.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-84 b,4708,40 Earths,14.79,2012,,Super Earth,2012,40 Earths,2.23 x Earth,Unknown,8.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-84 c,4708,20.2 Earths,14.79,2012,,Super Earth,2012,20.2 Earths,0.211 x Jupiter,Unknown,12.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-84 d,4708,2.48 Earths,14.79,2014,,Super Earth,2014,2.48 Earths,1.38 x Earth,0.052 AU,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-84 e,4708,7.27 Earths,14.79,2014,,Neptune-like,2014,7.27 Earths,0.232 x Jupiter,0.181 AU,27.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-84 f,4708,5.48 Earths,14.79,2014,,Neptune-like,2014,5.48 Earths,2.2 x Earth,0.25 AU,44.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-850 b,5007,3.82 Earths,15.427,2016,,Super Earth,2016,3.82 Earths,1.78 x Earth,Unknown,7.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-851 b,2835,3.46 Earths,15.108,2016,,Super Earth,2016,3.46 Earths,1.68 x Earth,Unknown,8.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-852 b,2786,6.99 Earths,13.907,2016,,Neptune-like,2016,6.99 Earths,0.227 x Jupiter,Unknown,44.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-853 b,1990,3.5 Earths,12.248,2016,,Super Earth,2016,3.5 Earths,1.69 x Earth,Unknown,7.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-854 b,2417,132 Jupiters,13.504,2016,,Gas Giant,2016,132 Jupiters,1.492 x Jupiter,Unknown,2.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-855 b,3402,0.166 Jupiters,15.019,2016,,Gas Giant,2016,0.166 Jupiters,0.745 x Jupiter,Unknown,7.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-856 b,3833,0.199 Jupiters,15.557,2016,,Gas Giant,2016,0.199 Jupiters,0.83 x Jupiter,Unknown,8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-857 b,3389,37.2 Earths,15.064,2016,,Neptune-like,2016,37.2 Earths,0.607 x Jupiter,Unknown,85.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-858 b,966,21.1 Earths,12.411,2016,,Neptune-like,2016,21.1 Earths,0.434 x Jupiter,Unknown,76.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-859 b,2985,9.75 Earths,15.88,2016,,Neptune-like,2016,9.75 Earths,0.276 x Jupiter,Unknown,20.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-85 b,2551,4.54 Earths,14.766,2012,,Super Earth,2012,4.54 Earths,1.97 x Earth,Unknown,8.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-85 c,2551,20.9 Earths,14.766,2012,,Super Earth,2012,20.9 Earths,2.18 x Earth,Unknown,12.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-85 d,2551,1.87 Earths,14.766,2014,,Super Earth,2014,1.87 Earths,1.2 x Earth,0.13 AU,17.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-85 e,2551,0.6 Earths,14.766,2014,,Super Earth,2014,0.6 Earths,1.27 x Earth,0.163 AU,25.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-860 b,4224,10.6 Earths,15.403,2016,,Neptune-like,2016,10.6 Earths,0.289 x Jupiter,Unknown,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-861 b,2629,5.82 Earths,15.596,2016,,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,Unknown,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-862 b,2629,5.52 Earths,15.303,2016,,Neptune-like,2016,5.52 Earths,2.21 x Earth,Unknown,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-863 b,3735,8.75 Earths,15.446,2016,,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,15.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-864 b,5131,6.35 Earths,15.782,2016,,Neptune-like,2016,6.35 Earths,0.214 x Jupiter,Unknown,5.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-865 b,2166,6.76 Earths,14.504,2016,,Neptune-like,2016,6.76 Earths,0.222 x Jupiter,Unknown,14.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-866 b,2251,3.29 Earths,15.797,2016,,Super Earth,2016,3.29 Earths,1.63 x Earth,Unknown,2.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-867 b,2688,19.4 Earths,14.885,2016,,Neptune-like,2016,19.4 Earths,0.414 x Jupiter,Unknown,150.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-868 b,4139,4.86 Earths,15.618,2016,,Super Earth,2016,4.86 Earths,2.05 x Earth,Unknown,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-869 b,3122,12.7 Earths,14.969,2016,,Neptune-like,2016,12.7 Earths,0.322 x Jupiter,Unknown,40.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-870 b,4016,8.15 Earths,15.222,2016,,Neptune-like,2016,8.15 Earths,0.248 x Jupiter,Unknown,21.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-871 b,5529,13.5 Earths,15.642,2016,,Neptune-like,2016,13.5 Earths,0.334 x Jupiter,Unknown,22 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-872 b,3634,4.62 Earths,15.071,2016,,Super Earth,2016,4.62 Earths,1.99 x Earth,Unknown,2.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-873 b,4557,13.5 Earths,14.795,2016,,Neptune-like,2016,13.5 Earths,0.335 x Jupiter,Unknown,20.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-874 b,3497,14.7 Earths,14.694,2016,,Neptune-like,2016,14.7 Earths,0.352 x Jupiter,Unknown,40.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-875 b,4058,8.75 Earths,15.21,2016,,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,27.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-876 b,2398,2.63 Earths,15.33,2016,,Super Earth,2016,2.63 Earths,1.43 x Earth,Unknown,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-877 b,1866,5.14 Earths,14.523,2016,,Neptune-like,2016,5.14 Earths,2.12 x Earth,Unknown,18.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-878 b,1850,4.38 Earths,14.79,2016,,Super Earth,2016,4.38 Earths,1.93 x Earth,Unknown,25.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
